design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,scenario_id,phase,true_change_logit,R,valid_n,ab_count,ba_count,false_reliable_change_rate,false_reliable_change_ci_low,false_reliable_change_ci_high,false_increase_rate,false_decrease_rate,indeterminate_rate,indeterminate_ci_low,indeterminate_ci_high,se_signed_rel_bias,se_signed_rel_bias_ci_low,se_signed_rel_bias_ci_high,se_abs_rel_error,se_abs_rel_error_ci_low,se_abs_rel_error_ci_high,form_bias_norm,form_bias_norm_ci_low,form_bias_norm_ci_high,practice_bias_norm,practice_bias_norm_ci_low,practice_bias_norm_ci_high
GBM01-N1-050-N2-100,50,100,9000,300,200,S06,screen,0.0,3000,2967,1500,1500,0.063,0.05251023636990424,0.07541846459603219,0.033,0.03,0.011,0.007061959784684468,0.017096243355688316,-0.0037891394990097927,-0.007401787997112866,-0.00017649100090671868,0.0617305795914738,0.059595410091982284,0.06386574909096532,0.0012722676123456149,-0.0018480434160536028,0.0043925786407448325,0.000805585569991065,-0.002527966230318993,0.004139137370301123
GBM01-N1-050-N2-100,50,100,9000,300,200,S07,screen,0.0,3000,2955,1500,1500,0.05,0.040706793573359636,0.061279282936185876,0.024666666666666667,0.025333333333333333,0.015,0.010260778572177194,0.02187977055477741,-0.00369794990645315,-0.007285604520230717,-0.00011029529267558196,0.060368948737705826,0.05819722748455877,0.06254066999085288,0.001233914369957344,-0.001973281285737546,0.0044411100256522345,-0.0025669176637815095,-0.005916311498065466,0.0007824761705024475
GBM01-N1-050-N2-100,50,100,9000,300,200,S08,screen,0.0,3000,2967,1500,1500,0.05266666666666667,0.043114575095298605,0.06419306540530144,0.025,0.027666666666666666,0.011,0.007061959784684468,0.017096243355688316,7.350359446043127e-05,-0.0035243212388357693,0.003671328427756632,0.06068848569062985,0.058519307383693174,0.06285766399756652,2.8968432619192424e-05,-0.0030674775240895043,0.0031254143893278893,0.0010879133588842767,-0.002196777256589479,0.004372603974358033
GBM01-N1-050-N2-100,50,100,9000,300,200,S09,screen,0.0,3000,2936,1500,1500,0.05466666666666667,0.04492528526158589,0.06637352823230508,0.030666666666666665,0.024,0.021333333333333333,0.015520220011145194,0.029259043594563956,-0.0007095865167411227,-0.004276245594400569,0.0028570725609183235,0.05986511280900007,0.05771556826651298,0.06201465735148717,-0.009469243105193368,-0.012732411187929707,-0.006206075022457029,0.002481503207374251,-0.0009643125574332651,0.0059273189721817665
GBM01-N1-050-N2-150,50,150,12600,400,300,S01,screen,0.0,3000,2968,1500,1500,0.051,0.041608812359602614,0.06237285064658834,0.024,0.027,0.010666666666666666,0.00680144026857975,0.01669156737291122,0.0003332668600208334,-0.0025198032636857062,0.0031863369837273727,0.04791946080738937,0.0461858929893174,0.04965302862546134,-0.0012525382168860474,-0.003997201671861262,0.0014921252380891668,0.0010610013800706286,-0.0016821594001956164,0.003804162160336874
GBM01-N1-050-N2-150,50,150,12600,400,300,S02,screen,0.0,3000,2964,1500,1500,0.049666666666666665,0.04040636714812104,0.06091451386254264,0.024,0.025666666666666667,0.012,0.007849758859317126,0.018304030777701114,0.0004229795111447885,-0.0024098462091536616,0.0032558052314432383,0.04753775197905216,0.0458158457299912,0.04925965822811312,-0.00043842145116827113,-0.003117753036319344,0.0022409101339828015,-0.0018299924156765525,-0.004569554529345012,0.0009095696979919076
GBM01-N1-050-N2-150,50,150,12600,400,300,S03,screen,0.0,3000,2967,1500,1500,0.058,0.04795179775338438,0.06999897072932477,0.03,0.028,0.011,0.007061959784684468,0.017096243355688316,-0.0008342897051961837,-0.003577121835184163,0.0019085424247917955,0.04662825460756942,0.04499698328187346,0.04825952593326538,0.00021481510717874,-0.002443512344383618,0.002873142558741098,0.0022304202210922885,-0.0004786090186733806,0.004939449460857958
GBM01-N1-050-N2-150,50,150,12600,400,300,S04,screen,0.0,3000,2969,1500,1500,0.059,0.04886175450263722,0.07108460047671737,0.033666666666666664,0.025333333333333333,0.010333333333333333,0.006542037223830099,0.01628577491877905,-0.0013040788109784786,-0.004463707509963888,0.0018555498880069303,0.0534776619169999,0.051581902859251294,0.05537342097474851,-3.1504585043288525e-06,-0.0026053229427821204,0.0025990220257734622,-0.0008034087702929302,-0.0035190729300131974,0.0019122553894273368
GBM01-N1-050-N2-150,50,150,12600,400,300,S05,screen,0.0,3000,2969,1500,1500,0.05466666666666667,0.04492528526158589,0.06637352823230508,0.028,0.02666666666666667,0.010333333333333333,0.006542037223830099,0.01628577491877905,-0.0019240493417796304,-0.004746841126301502,0.0008987424427422414,0.047954828037237045,0.04627091027068669,0.0496387458037874,0.00013081986519722865,-0.002534047133570397,0.002795686863964854,-0.0010368164670391835,-0.0037437228355222986,0.001670089901443932
GBM01-N1-050-N2-150,50,150,12600,400,300,S06,screen,0.0,3000,2968,1500,1500,0.049,0.0398058910508698,0.06018459896203026,0.024333333333333332,0.024666666666666667,0.010666666666666666,0.00680144026857975,0.01669156737291122,-0.0006605262633125312,-0.0035764564538519252,0.0022554039272268626,0.049657950203943126,0.04792899783957784,0.05138690256830841,0.0029945217159064313,0.0003688927528540443,0.005620150678958819,-0.00039231710712199584,-0.003133118730532487,0.0023484845162884955
GBM01-N1-050-N2-150,50,150,12600,400,300,S07,screen,0.0,3000,2961,1500,1500,0.05,0.040706793573359636,0.061279282936185876,0.029,0.021,0.013,0.008646080030504492,0.019503296103159207,-0.001766837899870671,-0.004743067904673909,0.0012093921049325664,0.05019085496514487,0.048396897755805045,0.05198481217448469,0.0001840221493192262,-0.0024584399908563156,0.0028264842894947678,-0.001469801339317169,-0.004226812085362146,0.001287209406727808
